Vehiculo;Posicion;T. Cond;Area Aparcado;Con Reserva;Pref. 1;Pref. 2;Pref. 3;Solic. Reser;Satisfaccion
V114;136;10;A3;NO;A3;A2;A1;3;0
V14;372;59;A7;SI;A7;A6;A5;1;100
V237;235;35;A5;SI;A5;A4;A3;1;100
V278;160;28;A1;SI;A3;A2;A1;3;33
V17;153;44;A3;SI;A3;A2;A1;1;100
V116;293;26;A4;SI;A6;A5;A4;3;33
V15;118;23;A1;SI;A3;A2;A1;3;33
V78;333;22;A7;SI;A7;A6;A5;1;100
V149;243;23;A3;SI;A5;A4;A3;3;33
V232;259;25;A4;SI;A6;A5;A4;3;33
V350;355;31;A8;SI;A8;A7;A6;1;100
V308;134;50;A2;SI;A2;A1;A0;1;100
V199;218;5;A5;NO;A5;A4;A3;3;0
V128;178;21;A2;SI;A4;A3;A2;3;33
V5;102;65;A0;SI;A0;;;1;100
V320;186;5;A5;NO;A5;A4;A3;3;0
V239;324;46;A6;SI;A6;A5;A4;1;100
V312;159;9;A4;NO;A4;A3;A2;3;0
V69;178;26;A2;SI;A4;A3;A2;3;33
V41;258;65;A4;SI;A4;A3;A2;1;100
V252;304;31;A6;SI;A6;A5;A4;1;100
V397;137;62;A1;SI;A1;A0;;1;100
V47;177;34;A1;SI;A3;A2;A1;3;33
V177;268;58;A5;SI;A5;A4;A3;1;100
V24;177;39;A1;SI;A3;A2;A1;3;33
V52;252;41;A5;SI;A5;A4;A3;1;100
V60;113;37;A2;SI;A2;A1;A0;1;100
V264;285;24;A4;SI;A6;A5;A4;3;33
V55;391;54;A7;SI;A7;A6;A5;1;100
V91;102;43;A0;SI;A1;A0;;2;66
V144;171;61;A2;SI;A2;A1;A0;1;100
V362;386;13;A10;SI;A10;A9;A8;1;100
V226;187;32;A2;SI;A4;A3;A2;3;33
V188;334;53;A6;SI;A6;A5;A4;1;100
V332;302;47;A6;SI;A6;A5;A4;1;100
V335;314;30;A7;SI;A7;A6;A5;1;100
V190;108;35;A0;SI;A2;A1;A0;3;33
V356;319;30;A7;SI;A7;A6;A5;1;100
V28;130;51;A0;SI;A1;A0;;2;66
V330;254;19;A4;SI;A6;A5;A4;3;33
V95;265;45;A5;SI;A5;A4;A3;1;100
V181;242;16;A4;SI;A6;A5;A4;3;33
V157;283;9;A5;SI;A7;A6;A5;3;33
V375;189;49;A3;SI;A3;A2;A1;1;100
V208;181;7;A4;NO;A4;A3;A2;3;0
V10;243;7;A6;NO;A6;A5;A4;3;0
V217;348;55;A7;SI;A7;A6;A5;1;100
V384;279;18;A4;SI;A6;A5;A4;3;33
V211;301;51;A6;SI;A6;A5;A4;1;100
V360;193;22;A2;SI;A4;A3;A2;3;33
V259;155;40;A1;SI;A3;A2;A1;3;33
V170;224;7;A5;NO;A5;A4;A3;3;0
V263;243;14;A4;SI;A6;A5;A4;3;33
V162;103;33;A0;SI;A2;A1;A0;3;33
V12;125;32;A0;SI;A2;A1;A0;3;33
V111;340;20;A8;SI;A8;A7;A6;1;100
V293;163;69;A2;SI;A2;A1;A0;1;100
V90;129;46;A0;SI;A2;A1;A0;3;33
V192;208;42;A3;SI;A4;A3;A2;2;66
V391;264;47;A5;SI;A5;A4;A3;1;100
V94;134;66;A0;SI;A1;A0;;2;66
V374;159;35;A1;SI;A3;A2;A1;3;33
V399;141;41;A2;SI;A2;A1;A0;1;100
V225;388;13;A10;SI;A10;A9;A8;1;100
V381;267;69;A4;SI;A4;A3;A2;1;100
V7;367;68;A6;SI;A6;A5;A4;1;100
V377;178;30;A2;SI;A4;A3;A2;3;33
V175;340;9;A9;SI;A9;A8;A7;1;100
V171;131;63;A1;SI;A1;A0;;1;100
V134;257;3;A6;NO;A6;A5;A4;3;0
V137;323;65;A6;SI;A6;A5;A4;1;100
V86;199;37;A2;SI;A4;A3;A2;3;33
V307;244;45;A3;SI;A4;A3;A2;2;66
V288;224;27;A4;SI;A5;A4;A3;2;66
V311;235;56;A4;SI;A4;A3;A2;1;100
V341;307;47;A6;SI;A6;A5;A4;1;100
V82;120;21;A1;SI;A3;A2;A1;3;33
V210;153;63;A2;SI;A2;A1;A0;1;100
V370;389;23;A10;SI;A10;A9;A8;1;100
V334;120;35;A0;SI;A2;A1;A0;3;33
V250;395;33;A10;SI;A10;A9;A8;1;100
V194;310;36;A6;SI;A6;A5;A4;1;100
V309;184;7;A5;NO;A5;A4;A3;3;0
V197;233;23;A3;SI;A5;A4;A3;3;33
V254;358;42;A7;SI;A7;A6;A5;1;100
V168;299;41;A6;SI;A6;A5;A4;1;100
V77;272;30;A6;SI;A6;A5;A4;1;100
V63;358;34;A7;SI;A7;A6;A5;1;100
V105;197;12;A3;SI;A5;A4;A3;3;33
V130;182;55;A3;SI;A3;A2;A1;1;100
V221;218;69;A3;SI;A3;A2;A1;1;100
V169;194;64;A3;SI;A3;A2;A1;1;100
V387;142;57;A0;SI;A1;A0;;2;66
V156;336;33;A7;SI;A7;A6;A5;1;100
